,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1F19,1M11,1J17,1M19,1O11,1L7,1P23,1K21,1P19,1N5,1G21,1J21,1B15,1F21,1L17,1O1,1D11,1I19,1N13,1J15,1H5,1F1,1E3,1O9,1L7,1B9,1F3,1J11,1D19,1O17,1J1,1G15
1,1M11,1C15,1A15,1L5,1B21,1D19,1H13,1E7,1F5,1N7,1L9,1M5,1C19,1I1,1K3,1H23,1H1,1B15,1C5,1B5,1J1,1A5,1A19,1F5,1H17,1C13,1H23,1C15,1A17,1E1,1H9,1O3
2,1I21,1B7,1C3,1O1,1A7,1A21,1K15,1L1,1O7,1D21,1N9,1A21,1B3,1A15,1I3,1P17,1E1,1D19,1F15,1O7,1P3,1C17,1J11,1D11,1D21,1I21,1F7,1F21,1B17,1J17,1F21,1M1
3,1B17,1A11,1B11,1I15,1D11,1J5,1A23,1C21,1P15,1G3,1G21,1P19,1G1,1C11,1G1,1A19,1J11,1C15,1K11,1F7,1N9,1D15,1F9,1E17,1K19,1I7,1L13,1K5,1M23,1O21,1O19,1G15
4,1N1,1I9,1H15,1L21,1L9,1O5,1F23,1G5,1C7,1C3,1G23,1O13,1D17,1P11,1F21,1O21,1B21,1A3,1A19,1J15,1M9,1N1,1G21,1O13,1K13,1K13,1K5,1I13,1C9,1J17,1J3,1D19
5,1H21,1N7,1A1,1L7,1P1,1E15,1A13,1I5,1E7,1F9,1E7,1C5,1I15,1B1,1G23,1E21,1K17,1I13,1I17,1B11,1C15,1I1,1C17,1B7,1K15,1N7,1K15,1F5,1H9,1E23,1N13,1D15
6,1H7,1N15,1O15,1F13,1P3,1I1,1A13,1B23,1H1,1G3,1A1,1K21,1I17,1J17,1O9,1G1,1F7,1M17,1P11,1M7,1N17,1M21,1M7,1H5,1L17,1J15,1N7,1D11,1F23,1C13,1L5,1K1
7,1M19,1F11,1E11,1P23,1G7,1O1,1L3,1E23,1I17,1M9,1H17,1N23,1L11,1C1,1M1,1N5,1I3,1F7,1A23,1N15,1G19,1C5,1F7,1B3,1D1,1L1,1H11,1F5,1A17,1I15,1K11,1G9
8,1D3,1F19,1O13,1O13,1H19,1B19,1H11,1E7,1K3,1P1,1F13,1O7,1M15,1E15,1N19,1J5,1B21,1L1,1H13,1D3,1C19,1F11,1C7,1J21,1B17,1I15,1G9,1B1,1F15,1B23,1G5,1N17
9,1D9,1A11,1D13,1E7,1M17,1N21,1B3,1I1,1G15,1G1,1C9,1G17,1M7,1G15,1E5,1I11,1C9,1E11,1E7,1I13,1H13,1P15,1J15,1M15,1B19,1J9,1I5,1A11,1G23,1H9,1K23,1P7
10,1J23,1G13,1H9,1O13,1F7,1I7,1D9,1N3,1N5,1G17,1O11,1A21,1N3,1A5,1C9,1A9,1F17,1K17,1D9,1C3,1D1,1K3,1K7,1B13,1F5,1D7,1M19,1G5,1D7,1L13,1M5,1B23
11,1O9,1M7,1D7,1H5,1E23,1O5,1M15,1F15,1G1,1J9,1E13,1P19,1O1,1N1,1N7,1B7,1L5,1B9,1F19,1C23,1F5,1C7,1P21,1D15,1K9,1G23,1H3,1L3,1C19,1M3,1O19,1O11
12,1L3,1D19,1K23,1M1,1L9,1M9,1D7,1P7,1I21,1I13,1F5,1A19,1K21,1I23,1E3,1A7,1I15,1F13,1C23,1H21,1K11,1L19,1J1,1K3,1N13,1A11,1C15,1J15,1O19,1K1,1I19,1M1
13,1D23,1H9,1F3,1C23,1F19,1F3,1M17,1H1,1E5,1C13,1E15,1H3,1F21,1B23,1L3,1P17,1M23,1A5,1C9,1M13,1E13,1E1,1N23,1N5,1I9,1M5,1M11,1E19,1I17,1K23,1A13,1P1
14,1I1,1G19,1J3,1K9,1P5,1M17,1O21,1D9,1C7,1P1,1N23,1B3,1P15,1O7,1B15,1D9,1M9,1M1,1K9,1D17,1A19,1N1,1F1,1N17,1B5,1M15,1C17,1B3,1H15,1N15,1N5,1H3
15,1K5,1H21,1G17,1M23,1O23,1M13,1J3,1H23,1P15,1P11,1H3,1L3,1G5,1F3,1K19,1G9,1D13,1E13,1J1,1D19,1N19,1F23,1J15,1L7,1P21,1I3,1E15,1K9,1A3,1I23,1G23,1M3
16,1G17,1J13,1K21,1I5,1L5,1J3,1D5,1N21,1L21,1A17,1N13,1L1,1B23,1H5,1P3,1C5,1O21,1G7,1K23,1A1,1D9,1G19,1N19,1C5,1H19,1J23,1C11,1B15,1H19,1B15,1J13,1C11
17,1L23,1M13,1F11,1G17,1D21,1L7,1I7,1D9,1F19,1P7,1J3,1N21,1O15,1M21,1J11,1O9,1A9,1F23,1P23,1H13,1N9,1H21,1F15,1B19,1O13,1P9,1K23,1F1,1D19,1B23,1O17,1H11
18,1G11,1P9,1D7,1L23,1K5,1I5,1P5,1G1,1M5,1O19,1L7,1C15,1L9,1F15,1D21,1A17,1M9,1C7,1N7,1L21,1D9,1E13,1N13,1O13,1L3,1E5,1K15,1N21,1K13,1O11,1I17,1E15
19,1P1,1J7,1G5,1B1,1O21,1F3,1J15,1L3,1O5,1B9,1J3,1O11,1O7,1N11,1N11,1O3,1P15,1D1,1O3,1M9,1N17,1E9,1E11,1I23,1F21,1B3,1G5,1H15,1L13,1P13,1L17,1A19
20,1D3,1E3,1G21,1L23,1O5,1C19,1C21,1D23,1P21,1J7,1B15,1E5,1B13,1D11,1H1,1A11,1C3,1M3,1E19,1A3,1P3,1D7,1P23,1I19,1K11,1B15,1P19,1J7,1C15,1M5,1L23,1A21
21,1G7,1K21,1K1,1L9,1P13,1M19,1M11,1N5,1A13,1L21,1J1,1O19,1P13,1B17,1D21,1P13,1I5,1I11,1P3,1D23,1C21,1E9,1H21,1N5,1O23,1A19,1P5,1K7,1D5,1D15,1D15,1B11
22,1C3,1C15,1I9,1D5,1N3,1A15,1O3,1N1,1G5,1E17,1C13,1K17,1F17,1K23,1G13,1J21,1I3,1F9,1J7,1O1,1P5,1A5,1N11,1J19,1N13,1B21,1P23,1F7,1P21,1P1,1P7,1H13
23,1K23,1N13,1K7,1L21,1L21,1D21,1M13,1I17,1P13,1J19,1D15,1D7,1O9,1K13,1F23,1D15,1E23,1L19,1P23,1E5,1A7,1E9,1M17,1F17,1C1,1J9,1J19,1I21,1B19,1B17,1H17,1C3
24,1F1,1L5,1I1,1I5,1O19,1J9,1H1,1D5,1A19,1N3,1O3,1G21,1J23,1N23,1E21,1L17,1M7,1O17,1B1,1P3,1H15,1M13,1K15,1N19,1A11,1C11,1C5,1D9,1A19,1C13,1C11,1D23
25,1I21,1L1,1K21,1C1,1L15,1M19,1L11,1L11,1K11,1E19,1N23,1A21,1A3,1A3,1M3,1P1,1P7,1I3,1K17,1K9,1F17,1L3,1O19,1L3,1N9,1F15,1I11,1A21,1F23,1J3,1E13,1M11
26,1K9,1A1,1K1,1P11,1N3,1A7,1F7,1K7,1O15,1J23,1K11,1L21,1H5,1P3,1K9,1K19,1P19,1H23,1I19,1E3,1K3,1E9,1N23,1G9,1F19,1O19,1K21,1M19,1J9,1O11,1H5,1C1
27,1F17,1M11,1B7,1E17,1O23,1G19,1N19,1F23,1I13,1O23,1O21,1A15,1M21,1H11,1A15,1D23,1F1,1F15,1C11,1P23,1F11,1N15,1G7,1G13,1N17,1H3,1H17,1I7,1M17,1A9,1J19,1O9
