plate_number,plate_position,member_name,catalytic_bin
1,A1,adk_orth_plasmid_A1,1
1,A3,adk_orth_plasmid_A2,1
1,A5,adk_orth_plasmid_A3,1
1,A7,adk_orth_plasmid_A4,1
1,A9,adk_orth_plasmid_A5,1
1,A11,adk_orth_plasmid_A6,1
1,A13,adk_orth_plasmid_A7,1
1,A15,adk_orth_plasmid_A8,1
1,A17,adk_orth_plasmid_A9,1
1,A19,adk_orth_plasmid_A10,1
1,A21,adk_orth_plasmid_A11,1
1,A23,adk_orth_plasmid_A12,1
1,B1,adk_orth_plasmid_B1,1
1,B3,adk_orth_plasmid_B2,1
1,B5,adk_orth_plasmid_B3,1
1,B7,adk_orth_plasmid_B4,1
1,B9,adk_orth_plasmid_B5,1
1,B11,adk_orth_plasmid_B6,1
1,B13,adk_orth_plasmid_B7,1
1,B15,adk_orth_plasmid_B8,1
1,B17,adk_orth_plasmid_B9,1
1,B19,adk_orth_plasmid_B10,1
1,B21,adk_orth_plasmid_B11,1
1,B23,adk_orth_plasmid_B12,1
1,C1,adk_orth_plasmid_C1,1
1,C3,adk_orth_plasmid_C2,1
1,C5,adk_orth_plasmid_C3,1
1,C7,adk_orth_plasmid_C4,1
1,C9,adk_orth_plasmid_C5,1
1,C11,adk_orth_plasmid_C6,1
1,C13,adk_orth_plasmid_C7,1
1,C15,adk_orth_plasmid_C8,1
1,C17,adk_orth_plasmid_C9,1
1,C19,adk_orth_plasmid_C10,1
1,C21,adk_orth_plasmid_C11,1
1,C23,adk_orth_plasmid_C12,1
1,D1,adk_orth_plasmid_D1,1
1,D3,adk_orth_plasmid_D2,1
1,D5,adk_orth_plasmid_D3,1
1,D7,adk_orth_plasmid_D4,1
1,D9,adk_orth_plasmid_D5,1
1,D11,adk_orth_plasmid_D6,1
1,D13,adk_orth_plasmid_D7,1
1,D15,adk_orth_plasmid_D8,1
1,D17,adk_orth_plasmid_D9,1
1,D19,adk_orth_plasmid_D10,1
1,D21,adk_orth_plasmid_D11,1
1,D23,adk_orth_plasmid_D12,1
1,E1,adk_orth_plasmid_E1,1
1,E3,adk_orth_plasmid_E2,1
1,E5,adk_orth_plasmid_E3,1
1,E7,adk_orth_plasmid_E4,1
1,E9,adk_orth_plasmid_E5,1
1,E11,adk_orth_plasmid_E6,1
1,E13,adk_orth_plasmid_E7,1
1,E15,adk_orth_plasmid_E8,1
1,E17,adk_orth_plasmid_E9,1
1,E19,adk_orth_plasmid_E10,1
1,E21,adk_orth_plasmid_E11,1
1,E23,adk_orth_plasmid_E12,1
1,F1,adk_orth_plasmid_F1,1
1,F3,adk_orth_plasmid_F2,1
1,F5,adk_orth_plasmid_F3,1
1,F7,adk_orth_plasmid_F4,1
1,F9,adk_orth_plasmid_F5,1
1,F11,adk_orth_plasmid_F6,1
1,F13,adk_orth_plasmid_F7,1
1,F15,adk_orth_plasmid_F8,1
1,F17,adk_orth_plasmid_F9,1
1,F19,adk_orth_plasmid_F10,1
1,F21,adk_orth_plasmid_F11,1
1,F23,adk_orth_plasmid_F12,1
1,G1,adk_orth_plasmid_G1,1
1,G3,adk_orth_plasmid_G2,1
1,G5,adk_orth_plasmid_G3,1
1,G7,adk_orth_plasmid_G4,1
1,G9,adk_orth_plasmid_G5,1
1,G11,adk_orth_plasmid_G6,1
1,G13,adk_orth_plasmid_G7,1
1,G15,adk_orth_plasmid_G8,1
1,G17,adk_orth_plasmid_G9,1
1,G19,adk_orth_plasmid_G10,1
1,G21,adk_orth_plasmid_G11,1
1,G23,adk_orth_plasmid_G12,1
1,H1,adk_orth_plasmid_H1,1
1,H3,adk_orth_plasmid_H2,1
1,H5,adk_orth_plasmid_H3,1
1,H7,adk_orth_plasmid_H4,1
1,H9,adk_orth_plasmid_H5,1
1,H11,adk_orth_plasmid_H6,1
1,H13,adk_orth_plasmid_H7,1
1,H15,adk_orth_plasmid_H8,1
1,H17,adk_orth_plasmid_H9,1
1,H19,adk_orth_plasmid_H10,1
1,H21,adk_orth_plasmid_H11,1
1,H23,adk_orth_plasmid_H12,1
1,I1,adk_orth_amp_A1,1
1,I3,adk_orth_amp_A2,1
1,I5,adk_orth_amp_A3,1
1,I7,adk_orth_amp_A4,1
1,I9,adk_orth_amp_A5,1
1,I11,adk_orth_amp_A6,1
1,I13,adk_orth_amp_A7,1
1,I15,adk_orth_amp_A8,1
1,I17,adk_orth_amp_A9,1
1,I19,adk_orth_amp_A10,1
1,I21,adk_orth_amp_A11,1
1,I23,adk_orth_amp_A12,1
1,J1,adk_orth_amp_B1,1
1,J3,adk_orth_amp_B2,1
1,J5,adk_orth_amp_B3,1
1,J7,adk_orth_amp_B4,1
1,J9,adk_orth_amp_B5,1
1,J11,adk_orth_amp_B6,1
1,J13,adk_orth_amp_B7,1
1,J15,adk_orth_amp_B8,1
1,J17,adk_orth_amp_B9,1
1,J19,adk_orth_amp_B10,1
1,J21,adk_orth_amp_B11,1
1,J23,adk_orth_amp_B12,1
1,K1,adk_orth_amp_C1,1
1,K3,adk_orth_amp_C2,1
1,K5,adk_orth_amp_C3,1
1,K7,adk_orth_amp_C4,1
1,K9,adk_orth_amp_C5,1
1,K11,adk_orth_amp_C6,1
1,K13,adk_orth_amp_C7,1
1,K15,adk_orth_amp_C8,1
1,K17,adk_orth_amp_C9,1
1,K19,adk_orth_amp_C10,1
1,K21,adk_orth_amp_C11,1
1,K23,adk_orth_amp_C12,1
1,L1,adk_orth_amp_D1,1
1,L3,adk_orth_amp_D2,1
1,L5,adk_orth_amp_D3,1
1,L7,adk_orth_amp_D4,1
1,L9,adk_orth_amp_D5,1
1,L11,adk_orth_amp_D6,1
1,L13,adk_orth_amp_D7,1
1,L15,adk_orth_amp_D8,1
1,L17,adk_orth_amp_D9,1
1,L19,adk_orth_amp_D10,1
1,L21,adk_orth_amp_D11,1
1,L23,adk_orth_amp_D12,1
1,M1,adk_orth_amp_E1,1
1,M3,adk_orth_amp_E2,1
1,M5,adk_orth_amp_E3,1
1,M7,adk_orth_amp_E4,1
1,M9,adk_orth_amp_E5,1
1,M11,adk_orth_amp_E6,1
1,M13,adk_orth_amp_E7,1
1,M15,adk_orth_amp_E8,1
1,M17,adk_orth_amp_E9,1
1,M19,adk_orth_amp_E10,1
1,M21,adk_orth_amp_E11,1
1,M23,adk_orth_amp_E12,1
1,N1,adk_orth_amp_F1,1
1,N3,adk_orth_amp_F2,1
1,N5,adk_orth_amp_F3,1
1,N7,adk_orth_amp_F4,1
