,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1G6,1H3,1H3,1G3,1G6,1F2,1G1,1H1,1F3,1G5,1G2,1F6,1H5,1F6,1H1,1F5,1F2,1F5,1G4,1G6,1F5,1G6,1F3,1G5,1H6,1H3,1H1,1G4,1F2,1F1,1G1,1H1
1,1G1,1H3,1G5,1H4,1F6,1H1,1H5,1H3,1G4,1F3,1F6,1F1,1F4,1H3,1G6,1G3,1F5,1G5,1G5,1H5,1F4,1H4,1H5,1F1,1F3,1H1,1F1,1H4,1G6,1F4,1H4,1H1
2,1H4,1F5,1G3,1F4,1F6,1G2,1F5,1H6,1H6,1F3,1F5,1G3,1G3,1G6,1G3,1H6,1H4,1H5,1G4,1G5,1F5,1H2,1H6,1F2,1G1,1H4,1G1,1F3,1H6,1G5,1G6,1H2
3,1F6,1F4,1H6,1H6,1F3,1H5,1H4,1F2,1H2,1G5,1H2,1G2,1H1,1G2,1G6,1F2,1G6,1G6,1G5,1H6,1G6,1F5,1F4,1G2,1H6,1H6,1F1,1G5,1G1,1F1,1F6,1H4
4,1F3,1G2,1F4,1G6,1H4,1G5,1H6,1F6,1H3,1H2,1H5,1G4,1F1,1H4,1G5,1F2,1G1,1G5,1H4,1G5,1G4,1H3,1F1,1G1,1H3,1F3,1H5,1G4,1H2,1F5,1G5,1F6
5,1F2,1F5,1H1,1F5,1F5,1F1,1F5,1F1,1G6,1G4,1H5,1H4,1F4,1F5,1G4,1H2,1H5,1G2,1H2,1H5,1H2,1G2,1F5,1F6,1G4,1H2,1H1,1G4,1G6,1F6,1H5,1H3
6,1H5,1F3,1F5,1F3,1F2,1G3,1H4,1H4,1H2,1G2,1F1,1H4,1H2,1G4,1H6,1G6,1F2,1H2,1G1,1F1,1G4,1F5,1F5,1H4,1F6,1H1,1H5,1H3,1H4,1F6,1F1,1G2
7,1F4,1G2,1F2,1G6,1F6,1G3,1F4,1F2,1H1,1F3,1G6,1G1,1H5,1F3,1F3,1G4,1G6,1H5,1F4,1G4,1H2,1G4,1H4,1F5,1G5,1F2,1H1,1F2,1F1,1H3,1F5,1H6
8,1H1,1F6,1G1,1H1,1G3,1H3,1H6,1H6,1F1,1F3,1G6,1H2,1G2,1F4,1F1,1F6,1G6,1F4,1H2,1H4,1G1,1G1,1H3,1G4,1G1,1G3,1F5,1H5,1H4,1F2,1F2,1F4
9,1G2,1G3,1H5,1G6,1G1,1G5,1F4,1G6,1G2,1H5,1G3,1H6,1F1,1H2,1G1,1H5,1F2,1G3,1H5,1H3,1F2,1F4,1G1,1H2,1G4,1G4,1G3,1F3,1H4,1G3,1F1,1F6
