,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1A8,1A1,1A2,1A6,1A6,1A6,1A6,1A5,1A3,1A1,1A6,1A8,1A7,1A1,1A2,1A7,1A8,1A3,1A3,1A4,1A6,1A6,1A6,1A6,1A1,1A5,1A6,1A3,1A4,1A2,1A1,1A2
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1A6,1A8,1A5,1A6,1A6,1A1,1A7,1A5,1A3,1A1,1A2,1A3,1A4,1A3,1A2,1A2,1A5,1A3,1A1,1A3,1A4,1A8,1A7,1A5,1A8,1A8,1A3,1A7,1A6,1A2,1A8,1A5
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1A8,1A6,1A3,1A2,1A6,1A3,1A1,1A8,1A7,1A5,1A7,1A2,1A5,1A2,1A6,1A4,1A8,1A2,1A5,1A1,1A3,1A7,1A5,1A8,1A7,1A3,1A7,1A6,1A8,1A1,1A8,1A8
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1A1,1A3,1A8,1A7,1A8,1A3,1A5,1A5,1A4,1A2,1A8,1A6,1A8,1A7,1A1,1A7,1A2,1A2,1A1,1A7,1A2,1A4,1A6,1A2,1A3,1A5,1A2,1A2,1A8,1A4,1A8,1A3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1A4,1A2,1A5,1A5,1A8,1A5,1A3,1A5,1A5,1A5,1A5,1A3,1A3,1A6,1A8,1A7,1A4,1A4,1A4,1A2,1A4,1A3,1A6,1A6,1A7,1A1,1A7,1A6,1A2,1A2,1A4,1A5
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1A2,1A4,1A1,1A4,1A2,1A7,1A6,1A6,1A3,1A7,1A8,1A7,1A4,1A2,1A1,1A2,1A3,1A7,1A3,1A3,1A1,1A6,1A6,1A6,1A8,1A5,1A8,1A6,1A6,1A6,1A2,1A8
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1A2,1A7,1A3,1A4,1A6,1A4,1A6,1A4,1A6,1A1,1A8,1A5,1A8,1A8,1A7,1A1,1A1,1A6,1A5,1A8,1A8,1A1,1A5,1A3,1A8,1A1,1A4,1A4,1A8,1A7,1A3,1A5
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1A3,1A3,1A7,1A3,1A4,1A7,1A5,1A5,1A3,1A2,1A4,1A7,1A3,1A5,1A7,1A7,1A7,1A8,1A6,1A2,1A6,1A1,1A8,1A1,1A4,1A3,1A8,1A2,1A1,1A7,1A2,1A8
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
