,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1B2,1E12,1C12,1B2,1A1,1B2,1B12,1C12,1G6,1A1,1B12,1F12,1C12,1C12,1B12,1B2,1F12,1B12,1F12,1B12,1E12,1B12,1E12,1B12,1E12,1C4,1E12,1C2,1A1,1C12,1C2,1E12
1,1C2,1E12,1B4,1B4,1E12,1E12,1C4,1F12,1C2,1E12,1C12,1F12,1E12,1C12,1B4,1G6,1C12,1C2,1C2,1G6,1A1,1G6,1B12,1C12,1F12,1C4,1C4,1G6,1E12,1A1,1B2,1G6
2,1G6,1C12,1B4,1B4,1C4,1G6,1B4,1F12,1B12,1G6,1B2,1E12,1E12,1C2,1B2,1C12,1B2,1B2,1C4,1A1,1B12,1F12,1G6,1C2,1B12,1E12,1C2,1C12,1B2,1C4,1B4,1B12
3,1C4,1B2,1A1,1B4,1F12,1F12,1C2,1C4,1C2,1B12,1C2,1B12,1B4,1G6,1C4,1B2,1C4,1C4,1C2,1C12,1F12,1B4,1F12,1C4,1E12,1C12,1C4,1E12,1C12,1F12,1C4,1B2
4,1A1,1E12,1C4,1B2,1G6,1A1,1E12,1G6,1B12,1C12,1B12,1C4,1E12,1E12,1C2,1F12,1F12,1C12,1B2,1B4,1B12,1A1,1F12,1G6,1C4,1B2,1C2,1G6,1C2,1C4,1C4,1B2
5,1F12,1A1,1A1,1E12,1B12,1B4,1A1,1B4,1B2,1C4,1B2,1F12,1C12,1C4,1B4,1A1,1B4,1C4,1B12,1G6,1B4,1B12,1B2,1F12,1C2,1G6,1C2,1B12,1A1,1F12,1B4,1G6
6,1B12,1G6,1B12,1A1,1C12,1C4,1C12,1A1,1A1,1A1,1E12,1G6,1C2,1C4,1C2,1A1,1B4,1B4,1C4,1C4,1B4,1C4,1B4,1B2,1G6,1C4,1B4,1E12,1A1,1C4,1C4,1C12
7,1B4,1C4,1C12,1B4,1B4,1F12,1B12,1B2,1C2,1E12,1A1,1B2,1B4,1G6,1B12,1E12,1B4,1C4,1C2,1E12,1E12,1G6,1B12,1B4,1C4,1C12,1G6,1C12,1E12,1C12,1C2,1G6
8,1B12,1C2,1B4,1A1,1G6,1C4,1C12,1C4,1C2,1C4,1F12,1E12,1F12,1B12,1B4,1A1,1E12,1G6,1B12,1C4,1B2,1C4,1F12,1E12,1C4,1B4,1C12,1A1,1C2,1C2,1E12,1B12
9,1G6,1E12,1F12,1B4,1C12,1A1,1G6,1C12,1G6,1G6,1E12,1F12,1B12,1C2,1E12,1C12,1F12,1C2,1G6,1B4,1B2,1A1,1C4,1C2,1C2,1E12,1C4,1F12,1B12,1F12,1B2,1B4
10,1B12,1G6,1C12,1G6,1B12,1A1,1G6,1B2,1B4,1B2,1C2,1E12,1F12,1C12,1C12,1F12,1C4,1A1,1A1,1B2,1B4,1B2,1G6,1A1,1C2,1C2,1A1,1B4,1B12,1E12,1C2,1G6
11,1C2,1C2,1G6,1B4,1G6,1A1,1C12,1E12,1B2,1C2,1B4,1G6,1B4,1F12,1A1,1C4,1C4,1B12,1G6,1E12,1C4,1C4,1B2,1B2,1A1,1C2,1G6,1C2,1B12,1B4,1B4,1B2
12,1B12,1C12,1B12,1B12,1B4,1E12,1B2,1C4,1C2,1B2,1E12,1A1,1B2,1B2,1B2,1B4,1B12,1B12,1B4,1C12,1B12,1C2,1E12,1B2,1C2,1A1,1B12,1E12,1C12,1B12,1F12,1B12
13,1C4,1C2,1C4,1C4,1F12,1C12,1A1,1B2,1B2,1B4,1E12,1G6,1B12,1E12,1F12,1F12,1C2,1G6,1A1,1F12,1E12,1F12,1E12,1C4,1G6,1A1,1C2,1A1,1C2,1G6,1B2,1C4
14,1A1,1B4,1F12,1E12,1C12,1B12,1B12,1B12,1B12,1G6,1E12,1E12,1F12,1C12,1B2,1B4,1F12,1F12,1B2,1B2,1F12,1C4,1B12,1C2,1C12,1C12,1E12,1B2,1C4,1C12,1G6,1B4
15,1B4,1B2,1B12,1C2,1E12,1C12,1C12,1F12,1C2,1C4,1E12,1B2,1A1,1F12,1G6,1G6,1C2,1B2,1B2,1B4,1E12,1G6,1G6,1A1,1G6,1C2,1C4,1C4,1C12,1B12,1E12,1B2
16,1B12,1F12,1B12,1C2,1E12,1G6,1C4,1F12,1F12,1E12,1B12,1G6,1C12,1C4,1F12,1C2,1B4,1B2,1C12,1E12,1G6,1E12,1C2,1A1,1C2,1F12,1A1,1C12,1C12,1B12,1A1,1G6
17,1G6,1F12,1C12,1E12,1A1,1G6,1B2,1B2,1C4,1E12,1B12,1F12,1B12,1B12,1E12,1G6,1C12,1B4,1B4,1G6,1C2,1C2,1A1,1F12,1B2,1B2,1A1,1B4,1G6,1C2,1A1,1C12
18,1A1,1B4,1B2,1A1,1B4,1C12,1B12,1C2,1A1,1C2,1B4,1C4,1B4,1B4,1C4,1B2,1B2,1F12,1E12,1B2,1B4,1A1,1C12,1C2,1F12,1B12,1G6,1A1,1C4,1A1,1A1,1C12
19,1F12,1B2,1E12,1B2,1C2,1C2,1C4,1A1,1C12,1C12,1B2,1A1,1E12,1A1,1B2,1A1,1C12,1C4,1A1,1A1,1A1,1A1,1B4,1G6,1C12,1F12,1C12,1B4,1C12,1C12,1C12,1F12
20,1C12,1E12,1C4,1C4,1C2,1C2,1E12,1C12,1C12,1G6,1C12,1B4,1A1,1C4,1E12,1B2,1E12,1G6,1E12,1B12,1E12,1B2,1C12,1G6,1F12,1B12,1A1,1B12,1A1,1B4,1C4,1F12
21,1B2,1F12,1C4,1A1,1F12,1C4,1C12,1C4,1A1,1B12,1G6,1B4,1G6,1G6,1F12,1G6,1F12,1F12,1A1,1A1,1F12,1C4,1G6,1C2,1B12,1C2,1B12,1G6,1E12,1C12,1G6,1F12
22,1B4,1C2,1E12,1A1,1B12,1A1,1B12,1A1,1C12,1C4,1C12,1C4,1C12,1B2,1C4,1C12,1B12,1C12,1E12,1A1,1A1,1C4,1F12,1C2,1B12,1B12,1A1,1B2,1C4,1B2,1A1,1B2
23,1B2,1C12,1E12,1C12,1B2,1B4,1B4,1E12,1B4,1B4,1G6,1C4,1C12,1A1,1A1,1B4,1G6,1B2,1G6,1C12,1C4,1B2,1F12,1G6,1C2,1G6,1F12,1B12,1C4,1F12,1B12,1C2
24,1C12,1G6,1B12,1G6,1E12,1G6,1C4,1B4,1C2,1A1,1E12,1G6,1C12,1E12,1B2,1E12,1B4,1B4,1B12,1G6,1B12,1C12,1C2,1G6,1B12,1B12,1E12,1C2,1E12,1B12,1C12,1C2
25,1E12,1C4,1B4,1B4,1F12,1G6,1C4,1B12,1B2,1G6,1C12,1A1,1E12,1A1,1C12,1B12,1G6,1G6,1A1,1E12,1B4,1B2,1C2,1C2,1A1,1C12,1E12,1C2,1B12,1G6,1B4,1B4
26,1C4,1F12,1C12,1E12,1A1,1B4,1C4,1C2,1C12,1E12,1B12,1G6,1B2,1C4,1F12,1C4,1C4,1A1,1F12,1A1,1A1,1C4,1B2,1F12,1G6,1G6,1A1,1B2,1C2,1B4,1B4,1B12
27,1B12,1C4,1E12,1B2,1B12,1G6,1F12,1B12,1A1,1B4,1C4,1B12,1E12,1C4,1G6,1E12,1G6,1C2,1B2,1B4,1B4,1C12,1G6,1A1,1E12,1B2,1E12,1C12,1C4,1C2,1B2,1F12
28,1C4,1C2,1E12,1E12,1C12,1B12,1B4,1B4,1C2,1C2,1E12,1C2,1C2,1B4,1C4,1E12,1A1,1F12,1B4,1B2,1C4,1C2,1C2,1F12,1C12,1C2,1C2,1B4,1A1,1B12,1B4,1C2
29,1G6,1C12,1E12,1C2,1B2,1B4,1F12,1G6,1C12,1F12,1E12,1C4,1B2,1A1,1C2,1C12,1G6,1E12,1E12,1C2,1B12,1B2,1C2,1B4,1F12,1E12,1C2,1C2,1G6,1G6,1E12,1C4
30,1A1,1F12,1B2,1C2,1C12,1B2,1C4,1G6,1B12,1G6,1G6,1C4,1C4,1F12,1C2,1C12,1A1,1C12,1F12,1G6,1E12,1C2,1E12,1B4,1B4,1F12,1F12,1F12,1B2,1A1,1F12,1F12
31,1B2,1C12,1G6,1C2,1G6,1A1,1B4,1C12,1F12,1G6,1C2,1C4,1C2,1A1,1C4,1B4,1C4,1C2,1C4,1C4,1C2,1F12,1C12,1A1,1B2,1E12,1B2,1B12,1B2,1C4,1C2,1A1
32,1B12,1B4,1C2,1F12,1G6,1E12,1G6,1B12,1F12,1A1,1C4,1C12,1E12,1G6,1F12,1A1,1A1,1G6,1F12,1B2,1C12,1C2,1B2,1C2,1A1,1C2,1E12,1A1,1B2,1B2,1F12,1E12
33,1B2,1C12,1C4,1A1,1B4,1B2,1C2,1C2,1F12,1C4,1A1,1B4,1B4,1E12,1B2,1F12,1C2,1C2,1B12,1B12,1B4,1F12,1C2,1B12,1F12,1B2,1A1,1B4,1C12,1C4,1B12,1C2
34,1F12,1E12,1E12,1F12,1G6,1C12,1C4,1B2,1G6,1B4,1C4,1G6,1B4,1C2,1C4,1B12,1A1,1C4,1C12,1C2,1B12,1B2,1C2,1B4,1C2,1B12,1B12,1B12,1B12,1G6,1G6,1E12
35,1G6,1A1,1C4,1C12,1C4,1A1,1B12,1G6,1B12,1C12,1B4,1E12,1B12,1F12,1A1,1B12,1B2,1B2,1B4,1E12,1C12,1E12,1G6,1C2,1B2,1C4,1B2,1G6,1C12,1B2,1C2,1A1
36,1A1,1B12,1E12,1B12,1F12,1G6,1E12,1B4,1B2,1E12,1B2,1C2,1C12,1E12,1C12,1C4,1C4,1B12,1C4,1A1,1A1,1A1,1B2,1B4,1C12,1B4,1B2,1C12,1C2,1C2,1B2,1E12
37,1G6,1C4,1E12,1B12,1B12,1B4,1F12,1B4,1C12,1B2,1A1,1A1,1A1,1C12,1F12,1C2,1A1,1C2,1F12,1E12,1B4,1B4,1C2,1F12,1A1,1C2,1B2,1E12,1B2,1B2,1C4,1B12
38,1C2,1C12,1E12,1C4,1B12,1A1,1C12,1G6,1B12,1B12,1B4,1G6,1C12,1A1,1A1,1B2,1B12,1A1,1C12,1C4,1B2,1B4,1B4,1F12,1C4,1E12,1B2,1C2,1C4,1C2,1C12,1G6
39,1G6,1B2,1B12,1A1,1E12,1G6,1B2,1C12,1G6,1B2,1B12,1G6,1B4,1F12,1F12,1A1,1B2,1B4,1C4,1B4,1B12,1C12,1B4,1B2,1E12,1E12,1B2,1C4,1G6,1E12,1C4,1E12
40,1G6,1C12,1F12,1B12,1C2,1C4,1F12,1G6,1B2,1G6,1B4,1C4,1B12,1C4,1B12,1G6,1E12,1B12,1B4,1G6,1A1,1E12,1C12,1C12,1C4,1C12,1B2,1A1,1B4,1C2,1C2,1B4
41,1B2,1C4,1A1,1C4,1F12,1C2,1B12,1B2,1B12,1B12,1B4,1A1,1A1,1F12,1B2,1B2,1B12,1B12,1B12,1C2,1B12,1B12,1F12,1A1,1C4,1A1,1A1,1C4,1E12,1E12,1F12,1G6
42,1B4,1F12,1C4,1E12,1A1,1B4,1B12,1A1,1C2,1C2,1B12,1B4,1F12,1C4,1F12,1C2,1B2,1E12,1C12,1F12,1G6,1E12,1B4,1B2,1G6,1F12,1C12,1E12,1A1,1B12,1C2,1F12
43,1C12,1C12,1B4,1G6,1C2,1C12,1A1,1G6,1E12,1B2,1F12,1G6,1B12,1C2,1G6,1B4,1B4,1F12,1F12,1G6,1A1,1E12,1C2,1C12,1C2,1B2,1C2,1A1,1B12,1B2,1C4,1G6
44,1A1,1B2,1B2,1B12,1C12,1C12,1E12,1C2,1A1,1C2,1G6,1C12,1C2,1E12,1A1,1B12,1F12,1G6,1F12,1B2,1A1,1B4,1C12,1C12,1C2,1B2,1F12,1B4,1C12,1C4,1C2,1B12
45,1F12,1B12,1B4,1C12,1B2,1C12,1B4,1C4,1B2,1F12,1C4,1G6,1B4,1A1,1C4,1A1,1C2,1F12,1F12,1B2,1C2,1E12,1C4,1B12,1C12,1B12,1B12,1F12,1F12,1B4,1B2,1C2
