,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1B2,1E12,1B12,1B12,1G6,1E12,1A1,1C4,1C4,1C12,1G6,1C4,1B2,1B2,1B2,1B4,1B2,1C4,1B12,1A1,1C12,1G6,1C12,1A1,1B2,1F12,1E12,1C2,1A1,1A1,1A1,1C2
1,1G6,1C12,1C4,1C12,1C12,1E12,1B12,1C12,1C2,1F12,1C2,1C2,1F12,1E12,1E12,1B2,1G6,1B4,1B12,1C12,1C2,1A1,1F12,1C12,1B12,1C12,1B12,1B4,1C12,1B12,1C2,1C2
2,1C4,1B12,1C4,1A1,1C2,1B4,1B2,1C12,1C2,1B4,1B2,1C12,1C2,1B2,1G6,1B4,1A1,1C12,1A1,1B2,1E12,1C12,1A1,1C2,1A1,1B4,1G6,1E12,1G6,1C4,1B12,1E12
3,1F12,1C12,1A1,1C12,1B4,1F12,1C4,1E12,1B2,1C2,1B2,1B12,1C4,1C2,1C4,1C2,1E12,1B4,1A1,1B12,1B4,1E12,1C12,1B12,1B12,1E12,1C2,1C12,1B12,1C4,1A1,1A1
4,1G6,1C12,1C4,1F12,1E12,1G6,1A1,1C12,1C12,1E12,1G6,1C2,1C2,1C2,1B2,1C2,1B12,1C4,1C2,1B4,1C4,1F12,1C12,1B12,1C4,1C2,1B12,1B4,1E12,1E12,1B12,1C12
5,1A1,1C2,1F12,1B2,1C2,1B4,1F12,1A1,1B2,1F12,1C12,1C4,1G6,1C4,1B12,1B12,1G6,1B4,1C4,1B12,1C4,1A1,1C12,1F12,1B12,1C4,1B12,1C2,1C4,1F12,1B12,1B2
6,1G6,1E12,1A1,1C12,1C4,1C4,1C4,1B4,1B12,1C2,1G6,1C2,1B12,1F12,1B2,1B4,1C12,1A1,1G6,1C2,1C2,1B12,1C12,1B4,1F12,1F12,1C2,1B2,1C2,1F12,1G6,1B2
7,1A1,1C2,1G6,1C4,1C12,1E12,1E12,1B12,1F12,1B12,1C2,1G6,1A1,1C4,1E12,1C2,1E12,1E12,1B12,1B4,1C12,1B12,1C2,1C12,1C4,1F12,1B12,1F12,1G6,1C4,1E12,1C12
8,1A1,1C2,1E12,1C12,1F12,1C4,1A1,1G6,1C12,1B2,1A1,1G6,1E12,1A1,1A1,1E12,1A1,1B4,1C2,1B4,1C4,1F12,1B2,1C12,1C12,1C2,1C12,1C2,1B12,1F12,1F12,1C12
9,1B12,1F12,1G6,1C12,1G6,1B12,1A1,1B12,1C2,1C4,1F12,1B4,1B4,1C2,1A1,1F12,1B2,1G6,1B2,1B4,1C2,1B4,1F12,1A1,1A1,1A1,1A1,1B4,1C12,1C2,1F12,1B4
10,1F12,1F12,1C2,1C12,1B4,1G6,1B2,1E12,1E12,1B2,1C4,1E12,1B2,1C2,1G6,1A1,1C12,1B2,1G6,1A1,1E12,1E12,1F12,1F12,1C2,1B12,1G6,1F12,1C2,1B2,1E12,1B4
11,1B12,1C2,1A1,1B2,1C4,1C12,1C2,1B2,1C2,1B2,1C4,1C2,1B4,1E12,1E12,1C12,1E12,1G6,1B2,1G6,1A1,1B2,1E12,1A1,1G6,1B4,1B4,1G6,1B4,1E12,1A1,1C12
12,1G6,1E12,1C12,1B4,1F12,1G6,1C4,1C12,1C4,1B2,1F12,1C4,1C12,1E12,1B4,1E12,1E12,1C2,1B2,1G6,1G6,1C12,1B2,1E12,1E12,1B4,1C2,1C12,1B12,1B12,1B12,1F12
